workerid	language	enjoyment	age	sex	assess	education
0	English	1	32	Female	Yes	2
1	English	2	26	Female	Yes	3
2	English	2	23	Male	Yes	2
3	English	2	53	Male	Yes	3
4	English	2	32	Female	Yes	2
5	English	2	38	Male	Yes	3
6	English	2	27	Male	NA	2
7	English	2	36	Female	No	2
8	English	2	31	Male	Yes	2
9	English	2	30	Female	Yes	3
10	English	2	23	Male	Yes	2
11	English	2	51	Female	Yes	3
12	English	2	35	Female	Yes	1
13	English	2	24	Male	Yes	3
14	English	2	38	Male	Yes	3
15	English	2	35	Female	Yes	3
16	English	2	44	Female	Yes	3
17	English	2	26	Male	Yes	3
18	English	2	48	Male	Yes	1
19	English	2	43	Female	Yes	2