workerid	hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject
0	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3IQ1VMJRYTKO7AE3EB1SSZPTAQ8A90	0	Approved	Mon Jun 30 23:06:16 PDT 2014	Mon Jun 30 05:57:30 PDT 2014	Mon Jun 30 06:26:16 PDT 2014	Mon Jun 30 08:05:12 PDT 2014				
1	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3TXD01ZLD4H7PDMP3LMSBSQ7V2X4UN	1	Approved	Tue Jul 01 01:03:32 PDT 2014	Mon Jun 30 08:19:18 PDT 2014	Mon Jun 30 08:23:32 PDT 2014	Mon Jun 30 09:47:58 PDT 2014				
2	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3ZPPDN2SLVWRXNVFUG3EOIFKV6G9E6	2	Approved	Tue Jul 01 01:21:09 PDT 2014	Mon Jun 30 08:18:24 PDT 2014	Mon Jun 30 08:41:09 PDT 2014	Mon Jun 30 09:47:58 PDT 2014				
3	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	37M28K1J0QDDDMRC0NS5HT3W6WWAJ9	3	Approved	Tue Jul 01 01:23:03 PDT 2014	Mon Jun 30 08:34:42 PDT 2014	Mon Jun 30 08:43:03 PDT 2014	Mon Jun 30 09:47:58 PDT 2014				
4	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3G5F9DBFOPX1E4ZKNIGG131UEESHVB	4	Approved	Tue Jul 01 01:23:48 PDT 2014	Mon Jun 30 08:38:10 PDT 2014	Mon Jun 30 08:43:48 PDT 2014	Mon Jun 30 09:47:59 PDT 2014				
5	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	39LNWE0K4UW1XKL4OAOW5T0Q0KZIUH	5	Approved	Tue Jul 01 01:27:57 PDT 2014	Mon Jun 30 08:37:42 PDT 2014	Mon Jun 30 08:47:57 PDT 2014	Mon Jun 30 09:47:59 PDT 2014				
6	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3HMVI3QICJS7EN9BQ40FGFPHF6YY12	6	Approved	Tue Jul 01 01:29:19 PDT 2014	Mon Jun 30 08:42:27 PDT 2014	Mon Jun 30 08:49:19 PDT 2014	Mon Jun 30 09:47:59 PDT 2014				
7	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3HQUKB7LNFEWW340ITZCM2AL6ZIHHM	7	Approved	Tue Jul 01 01:32:50 PDT 2014	Mon Jun 30 08:47:33 PDT 2014	Mon Jun 30 08:52:50 PDT 2014	Mon Jun 30 09:47:59 PDT 2014				
8	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	352YTHGROVD2KRG53MFTSD1H1UW4HN	8	Approved	Tue Jul 01 01:33:43 PDT 2014	Mon Jun 30 08:47:41 PDT 2014	Mon Jun 30 08:53:43 PDT 2014	Mon Jun 30 09:47:59 PDT 2014				
9	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3HOSI13XHZOY87UWA1XW4WGPMFXDD1	9	Approved	Tue Jul 01 01:33:46 PDT 2014	Mon Jun 30 08:49:15 PDT 2014	Mon Jun 30 08:53:46 PDT 2014	Mon Jun 30 09:47:59 PDT 2014				
10	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3OF2M9AATGO9PE52U08GZ1UIU63KZJ	10	Approved	Tue Jul 01 01:41:46 PDT 2014	Mon Jun 30 08:53:35 PDT 2014	Mon Jun 30 09:01:46 PDT 2014	Mon Jun 30 09:48:00 PDT 2014				
11	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3I02618YA06TE68815EGEQ12MYVUP6	11	Approved	Tue Jul 01 01:45:00 PDT 2014	Mon Jun 30 09:02:07 PDT 2014	Mon Jun 30 09:05:00 PDT 2014	Mon Jun 30 09:48:00 PDT 2014				
12	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3W2LOLRXLBF0NNJBKJE3DYSJLPLKRR	12	Approved	Tue Jul 01 01:51:20 PDT 2014	Mon Jun 30 09:04:53 PDT 2014	Mon Jun 30 09:11:20 PDT 2014	Mon Jun 30 09:48:00 PDT 2014				
13	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33LK57MYLT57DXIAZ9HIQNLSB0ISZA	13	Approved	Tue Jul 01 02:08:38 PDT 2014	Mon Jun 30 09:24:16 PDT 2014	Mon Jun 30 09:28:38 PDT 2014	Mon Jun 30 09:48:00 PDT 2014				
14	3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	33SBSXUPCZFHSPEBOJN7773QZ348XO	Alien Biodiversity Study 2C	An 8-minute experiment where we ask you about some "alien" species.	language research stanford fun cognitive science university	$0.60	Mon Jun 30 05:57:02 PDT 2014	15	0	0	15	Reviewable	NotReviewed	1 cond	1800	60000	Sun Jul 20 08:06:52 PDT 2014	https://requester.mturk.com/mturk/manageHIT?HITId=3FTID4TN8LYHHAFLTCDWBA3CYHQLY5	3J4Q2Z4UTY3R6MYSWI86WJC9CATQWT	14	Approved	Tue Jul 01 02:17:44 PDT 2014	Mon Jun 30 09:27:11 PDT 2014	Mon Jun 30 09:37:44 PDT 2014	Mon Jun 30 09:48:00 PDT 2014				